Provider  	Language	AlertFile                     	  BLEU
azure     	km   	fireweather_watch_1.txt       	  2.43
azure     	km   	fireweather_watch_2.txt       	  5.10
azure     	km   	flashflood_warning_1.txt      	 10.36
azure     	km   	flashflood_warning_2_long.txt 	  1.79
azure     	km   	flashflood_watch_1.txt        	  3.24
azure     	km   	flood_advisory_1.txt          	  7.80
azure     	km   	flood_advisory_2.txt          	  1.33
azure     	km   	frost_advisory_1.txt          	  5.05
azure     	km   	helene_advisory_num15.txt     	  0.98
azure     	km   	helene_discussion_num15.txt   	  1.53
azure     	km   	helene_update_1.txt           	  4.76
azure     	km   	highwind_warning_1.txt        	  3.66
azure     	km   	highwind_watch_1.txt          	 10.67
azure     	km   	redflag_warning_1.txt         	  0.92
azure     	km   	redflag_warning_2.txt         	  8.02
azure     	km   	redflag_warning_3.txt         	  3.89
azure     	km   	snowsquall_warning_1.txt      	  4.61
azure     	km   	tornado_warning_1.txt         	  7.06
azure     	km   	tornado_warning_2.txt         	  3.08
azure     	km   	tornado_warning_3.txt         	 12.82
azure     	km   	tornado_warning_4.txt         	  0.97
azure     	km   	tornado_warning_5.txt         	  2.72
azure     	km   	tornado_watch_1.txt           	  3.25
azure     	km   	tornado_watch_2.txt           	  3.28
azure     	km   	tornado_watch_3.txt           	  1.26
azure     	km   	tornado_watch_4.txt           	  1.56
azure     	km   	tstorm_warning_1.txt          	  6.85
azure     	km   	tstorm_warning_2.txt          	  1.98
azure     	km   	tstorm_warning_3.txt          	  6.40
azure     	km   	tstorm_warning_4.txt          	  1.37
azure     	km   	tstorm_warning_5.txt          	  6.36
azure     	km   	tstorm_watch_1.txt            	  0.07
azure     	km   	tstorm_watch_2.txt            	  0.88
azure     	km   	tsunami_advisory_1.txt        	  1.41
azure     	km   	tsunami_advisory_2.txt        	  2.59
azure     	km   	tsunami_info_statement_1.txt  	  0.99
azure     	km   	tsunami_info_statement_2.txt  	  2.84
azure     	km   	tsunami_test_template.txt     	  0.53
azure     	km   	tsunami_threat_message.txt    	  0.37
azure     	km   	tsunami_warning_1.txt         	  0.97
azure     	km   	tsunami_warning_cancel.txt    	  0.46
azure     	km   	wind_advisory_1.txt           	  4.66
azure     	km   	winterstorm_advisory_1.txt    	  5.12
azure     	km   	winterstorm_warning_1_long.txt	  3.27
azure     	km   	winterstorm_warning_2_short.txt	  8.21
azure     	km   	winterstorm_warning_3.txt     	  5.23
azure     	km   	winterstorm_watch_1.txt       	  0.09
azure     	km   	winterstorm_watch_2.txt       	  1.05
azure     	km   	winterstorm_watch_3.txt       	  2.84
azure     	so   	avalanche_warning_1.txt       	  0.80
azure     	so   	avalanche_watch_1.txt         	  2.36
azure     	so   	blowingdust_advisory_1.txt    	  1.39
azure     	so   	coldweather_advisory_1.txt    	  2.77
azure     	so   	densefog_advisory_1.txt       	  0.88
